zip,city,county,state,latitude,longitude,source
12051,Coxsackie,Greene,NY,42.3501,-73.8199,geonames
12052,Cropseyville,Rensselaer,NY,42.7667,-73.4719,geonames
12053,Delanson,Schenectady,NY,42.7480,-74.1868,geonames
12054,Delmar,Albany,NY,42.6158,-73.8373,geonames
12055,Dormansville,Albany,NY,42.6149,-73.9708,geonames
12056,Duanesburg,Schenectady,NY,42.7708,-74.0839,geonames
12057,Eagle Bridge,Washington,NY,42.9808,-73.3522,geonames
12058,Earlton,Greene,NY,42.3527,-73.9062,geonames
12059,East Berne,Albany,NY,42.6191,-74.0555,geonames
12060,East Chatham,Columbia,NY,42.4330,-73.4903,geonames
12061,East Greenbush,Rensselaer,NY,42.5951,-73.6826,geonames
12062,East Nassau,Rensselaer,NY,42.5352,-73.4984,geonames
12063,East Schodack,Rensselaer,NY,42.5637,-73.6274,geonames
12064,East Worcester,Otsego,NY,42.6321,-74.6674,geonames
12065,Clifton Park,Saratoga,NY,42.8499,-73.7851,geonames
12066,Esperance,Montgomery,NY,42.7717,-74.2882,geonames
12067,Feura Bush,Albany,NY,42.5550,-73.9237,geonames
12068,Fonda,Montgomery,NY,42.9571,-74.4021,geonames
12069,Fort Hunter,Montgomery,NY,42.9423,-74.2851,geonames
12070,Fort Johnson,Montgomery,NY,42.9765,-74.2484,geonames
12071,Fultonham,Schoharie,NY,42.5923,-74.4381,geonames
12072,Fultonville,Montgomery,NY,42.9036,-74.3598,geonames
12073,Gallupville,Schoharie,NY,42.6626,-74.2326,geonames
12074,Galway,Saratoga,NY,43.0217,-74.0290,geonames
12075,Ghent,Columbia,NY,42.3036,-73.6486,geonames
12076,Gilboa,Schoharie,NY,42.4108,-74.4003,geonames
12077,Glenmont,Albany,NY,42.5971,-73.7959,geonames
12078,Gloversville,Fulton,NY,43.0616,-74.3375,geonames
12082,Grafton,Rensselaer,NY,42.7726,-73.4468,geonames
12083,Greenville,Greene,NY,42.4113,-74.0222,geonames
12084,Guilderland,Albany,NY,42.6973,-73.8975,geonames
12085,Guilderland Center,Albany,NY,42.7020,-73.9662,geonames
12086,Hagaman,Montgomery,NY,42.9695,-74.1556,geonames
12087,Hannacroix,Greene,NY,42.4290,-73.8093,geonames
12089,Hoosick,Rensselaer,NY,42.8667,-73.3181,geonames
12090,Hoosick Falls,Rensselaer,NY,42.8937,-73.3581,geonames
12092,Howes Cave,Schoharie,NY,42.7045,-74.3648,geonames
12093,Jefferson,Schoharie,NY,42.4999,-74.6117,geonames
12094,Johnsonville,Rensselaer,NY,42.8769,-73.4989,geonames
12095,Johnstown,Fulton,NY,43.0069,-74.3715,geonames
12106,Kinderhook,Columbia,NY,42.3767,-73.7183,geonames
12107,Knox,Albany,NY,42.6600,-74.1168,geonames
12108,Lake Pleasant,Hamilton,NY,43.6676,-74.4569,geonames
12110,Latham,Albany,NY,42.7462,-73.7630,geonames
12115,Malden Bridge,Columbia,NY,42.4725,-73.5807,geonames
12116,Maryland,Otsego,NY,42.5371,-74.9030,geonames
12117,Mayfield,Fulton,NY,43.1411,-74.2444,geonames
12118,Mechanicville,Saratoga,NY,42.9168,-73.7214,geonames
12120,Medusa,Albany,NY,42.4515,-74.1315,geonames
12121,Melrose,Rensselaer,NY,42.8412,-73.6077,geonames
12122,Middleburgh,Schoharie,NY,42.5637,-74.3292,geonames
12123,Nassau,Rensselaer,NY,42.5271,-73.6118,geonames
12124,New Baltimore,Greene,NY,42.4442,-73.7882,geonames
12125,New Lebanon,Columbia,NY,42.4759,-73.3773,geonames
12128,Newtonville,Albany,NY,42.7250,-73.7643,geonames
12130,Niverville,Columbia,NY,42.4400,-73.6663,geonames
12131,North Blenheim,Schoharie,NY,42.4899,-74.4282,geonames
12132,North Chatham,Columbia,NY,42.4705,-73.6300,geonames
12133,North Hoosick,Rensselaer,NY,42.9261,-73.3464,geonames
12134,Northville,Fulton,NY,43.2662,-74.2288,geonames
12136,Old Chatham,Columbia,NY,42.4357,-73.5545,geonames
12137,Pattersonville,Schenectady,NY,42.8499,-74.1231,geonames
12138,Petersburg,Rensselaer,NY,42.7495,-73.3401,geonames
12139,Piseco,Hamilton,NY,43.4481,-74.5263,geonames
12140,Poestenkill,Rensselaer,NY,42.6918,-73.5627,geonames
12141,Quaker Street,Schenectady,NY,42.7318,-74.1854,geonames
12143,Ravena,Albany,NY,42.4754,-73.8220,geonames
12144,Rensselaer,Rensselaer,NY,42.6359,-73.7219,geonames
12147,Rensselaerville,Albany,NY,42.5133,-74.1474,geonames
12148,Rexford,Saratoga,NY,42.8524,-73.8701,geonames
12149,Richmondville,Schoharie,NY,42.6424,-74.5710,geonames
12150,Rotterdam Junction,Schenectady,NY,42.8745,-74.0465,geonames
12151,Round Lake,Saratoga,NY,42.9247,-73.7859,geonames
12153,Sand Lake,Rensselaer,NY,42.6379,-73.4989,geonames
12154,Schaghticoke,Rensselaer,NY,42.9144,-73.6154,geonames
12155,Schenevus,Otsego,NY,42.5900,-74.8149,geonames
12156,Schodack Landing,Rensselaer,NY,42.4816,-73.7480,geonames
12157,Schoharie,Schoharie,NY,42.6615,-74.3047,geonames
12158,Selkirk,Albany,NY,42.5486,-73.8129,geonames
12159,Slingerlands,Albany,NY,42.6485,-73.8711,geonames
12160,Sloansville,Schoharie,NY,42.7599,-74.3642,geonames
12161,South Bethlehem,Albany,NY,42.5317,-73.8473,geonames
12164,Speculator,Hamilton,NY,43.5042,-74.3667,geonames
12165,Spencertown,Columbia,NY,42.3091,-73.5008,geonames
12166,Sprakers,Montgomery,NY,42.8484,-74.4536,geonames
12167,Stamford,Delaware,NY,42.4174,-74.6098,geonames
12168,Stephentown,Rensselaer,NY,42.5487,-73.3740,geonames
12169,Stephentown,Rensselaer,NY,42.5855,-73.4154,geonames
12170,Stillwater,Saratoga,NY,43.0019,-73.6609,geonames
12172,Stottville,Columbia,NY,42.2857,-73.7335,geonames
12173,Stuyvesant,Columbia,NY,42.3596,-73.7613,geonames
12174,Stuyvesant Falls,Columbia,NY,42.3440,-73.7348,geonames
12175,Summit,Schoharie,NY,42.5350,-74.5452,geonames
12176,Surprise,Greene,NY,42.3851,-73.9587,geonames
12177,Tribes Hill,Montgomery,NY,42.9554,-74.2851,geonames
12180,Troy,Rensselaer,NY,42.7287,-73.6683,geonames
12181,Troy,Rensselaer,NY,42.7387,-73.6739,geonames
12182,Troy,Rensselaer,NY,42.7829,-73.6648,geonames
12183,Troy,Albany,NY,42.7460,-73.6943,geonames
12184,Valatie,Columbia,NY,42.4321,-73.6683,geonames
12185,Valley Falls,Rensselaer,NY,42.8855,-73.5437,geonames
12186,Voorheesville,Albany,NY,42.6431,-73.9448,geonames
12187,Warnerville,Schoharie,NY,42.6604,-74.5074,geonames
12188,Waterford,Saratoga,NY,42.8100,-73.6995,geonames
12189,Watervliet,Albany,NY,42.7298,-73.7123,geonames
12190,Wells,Hamilton,NY,43.4012,-74.2886,geonames
12192,West Coxsackie,Greene,NY,42.4029,-73.8283,geonames
12193,Westerlo,Albany,NY,42.5156,-74.0394,geonames
12194,West Fulton,Schoharie,NY,42.5506,-74.4631,geonames
12195,West Lebanon,Columbia,NY,42.4862,-73.4662,geonames
12196,West Sand Lake,Rensselaer,NY,42.6380,-73.6109,geonames
12197,Worcester,Otsego,NY,42.6049,-74.7299,geonames
12198,Wynantskill,Rensselaer,NY,42.6878,-73.6383,geonames
12201,Albany,Albany,NY,42.6526,-73.7562,geonames
12202,Albany,Albany,NY,42.6413,-73.7641,geonames
12203,Albany,Albany,NY,42.7003,-73.8575,geonames
12204,Albany,Albany,NY,42.6847,-73.7354,geonames
12205,Albany,Albany,NY,42.7198,-73.8207,geonames
12206,Albany,Albany,NY,42.6683,-73.7744,geonames
12207,Albany,Albany,NY,42.6526,-73.7562,geonames
12208,Albany,Albany,NY,42.6560,-73.7964,geonames
12209,Albany,Albany,NY,42.6417,-73.7854,geonames
12210,Albany,Albany,NY,42.6568,-73.7605,geonames
12211,Albany,Albany,NY,42.7130,-73.7739,geonames
12212,Albany,Albany,NY,42.7168,-73.8104,geonames
12214,Albany,Albany,NY,42.6526,-73.7562,geonames
12220,Albany,Albany,NY,42.6526,-73.7562,geonames
12222,Albany,Albany,NY,42.6853,-73.8253,geonames
12223,Albany,Albany,NY,42.6526,-73.7562,geonames
12224,Albany,Albany,NY,42.6526,-73.7562,geonames
12225,Albany,Albany,NY,42.6526,-73.7562,geonames
12226,Albany,Albany,NY,42.6526,-73.7562,geonames
12227,Albany,Albany,NY,42.6526,-73.7562,geonames
12228,Albany,Albany,NY,42.6526,-73.7562,geonames
12229,Albany,Albany,NY,42.6526,-73.7562,geonames
12230,Albany,Albany,NY,42.6526,-73.7562,geonames
12231,Albany,Albany,NY,42.6526,-73.7562,geonames
12232,Albany,Albany,NY,42.6526,-73.7562,geonames
12233,Albany,Albany,NY,42.6526,-73.7562,geonames
12234,Albany,Albany,NY,42.6526,-73.7562,geonames
12235,Albany,Albany,NY,42.6526,-73.7562,geonames
12236,Albany,Albany,NY,42.6526,-73.7562,geonames
12237,Albany,Albany,NY,42.6526,-73.7562,geonames
12238,Albany,Albany,NY,42.6526,-73.7562,geonames
12239,Albany,Albany,NY,42.6526,-73.7562,geonames
12240,Albany,Albany,NY,42.6526,-73.7562,geonames
12241,Albany,Albany,NY,42.6526,-73.7562,geonames
12242,Albany,Albany,NY,42.6526,-73.7562,geonames
12243,Albany,Albany,NY,42.6526,-73.7562,geonames
12244,Albany,Albany,NY,42.6526,-73.7562,geonames
12245,Albany,Albany,NY,42.6526,-73.7562,geonames
12246,Albany,Albany,NY,42.6471,-73.7503,geonames
12247,Albany,Albany,NY,42.6526,-73.7562,geonames
12248,Albany,Albany,NY,42.6526,-73.7562,geonames
12249,Albany,Albany,NY,42.6526,-73.7562,geonames
12250,Albany,Albany,NY,42.6526,-73.7562,geonames
12252,Albany,Albany,NY,42.6526,-73.7562,geonames
12255,Albany,Albany,NY,42.6526,-73.7562,geonames
12256,Albany,Albany,NY,42.6526,-73.7562,geonames
12257,Albany,Albany,NY,42.6526,-73.7562,geonames
12260,Albany,Albany,NY,42.6526,-73.7562,geonames
12261,Albany,Albany,NY,42.6526,-73.7562,geonames
12288,Albany,Albany,NY,42.6526,-73.7562,geonames
12301,Schenectady,Schenectady,NY,42.8142,-73.9396,geonames
12302,Schenectady,Schenectady,NY,42.8800,-73.9913,geonames
12303,Schenectady,Schenectady,NY,42.7823,-73.9448,geonames
12304,Schenectady,Schenectady,NY,42.7841,-73.9094,geonames
12305,Schenectady,Schenectady,NY,42.8161,-73.9398,geonames
12306,Schenectady,Schenectady,NY,42.7904,-73.9809,geonames
12307,Schenectady,Schenectady,NY,42.8047,-73.9363,geonames
12308,Schenectady,Schenectady,NY,42.8179,-73.9206,geonames
12309,Schenectady,Schenectady,NY,42.8091,-73.8693,geonames
12325,Schenectady,Schenectady,NY,42.8333,-74.0580,geonames
12345,Schenectady,Schenectady,NY,42.8142,-73.9396,geonames
12401,Kingston,Ulster,NY,41.9697,-74.0668,geonames
12402,Kingston,Ulster,NY,41.9270,-73.9974,geonames
12404,Accord,Ulster,NY,41.8083,-74.2353,geonames
12405,Acra,Greene,NY,42.3304,-74.0857,geonames
12406,Arkville,Delaware,NY,42.1417,-74.5721,geonames
12407,Ashland,Greene,NY,42.3037,-74.3335,geonames
12409,Bearsville,Ulster,NY,42.0406,-74.1551,geonames
12410,Big Indian,Ulster,NY,42.0740,-74.4530,geonames
12411,Bloomington,Ulster,NY,41.8752,-74.0436,geonames
12412,Boiceville,Ulster,NY,42.0048,-74.2658,geonames
12413,Cairo,Greene,NY,42.3096,-74.0115,geonames
12414,Catskill,Greene,NY,42.2276,-73.8985,geonames
12416,Chichester,Ulster,NY,42.0950,-74.2717,geonames
12417,Connelly,Ulster,NY,41.9076,-73.9893,geonames
12418,Cornwallville,Greene,NY,42.3629,-74.1631,geonames
12419,Cottekill,Ulster,NY,41.8467,-74.1038,geonames
12420,Cragsmoor,Ulster,NY,41.6698,-74.3801,geonames
12421,Denver,Delaware,NY,42.2522,-74.5407,geonames
12422,Durham,Greene,NY,42.4020,-74.1849,geonames
12423,East Durham,Greene,NY,42.3860,-74.1117,geonames
12424,East Jewett,Greene,NY,42.2469,-74.1353,geonames
12427,Elka Park,Greene,NY,42.1643,-74.1245,geonames
12428,Ellenville,Ulster,NY,41.7218,-74.4141,geonames
12429,Esopus,Ulster,NY,41.8279,-73.9651,geonames
12430,Fleischmanns,Delaware,NY,42.1772,-74.5473,geonames
12431,Freehold,Greene,NY,42.3815,-74.0623,geonames
12432,Glasco,Ulster,NY,42.0437,-73.9474,geonames
12433,Glenford,Ulster,NY,42.0053,-74.1532,geonames
12434,Grand Gorge,Delaware,NY,42.3620,-74.4940,geonames
12435,Greenfield Park,Ulster,NY,41.7281,-74.5201,geonames
